CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/14/2021,12:54,BROOKLYN,11217,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4487052,Sedan,Bike,,,
12/14/2021,16:25,,,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4486581,Van,Bike,,,
04/24/2022,15:35,MANHATTAN,10019,40.767242,-73.986206,"(40.767242, -73.986206)",WEST 56 STREET,9 AVENUE,,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4521853,Station Wagon/Sport Utility Vehicle,Bike,,,
12/09/2021,20:20,BROOKLYN,11223,40.59207,-73.96299,"(40.59207, -73.96299)",EAST 7 STREET,CRAWFORD AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4485150,Bike,,,,
12/09/2021,23:15,BROOKLYN,11218,40.640835,-73.98967,"(40.640835, -73.98967)",12 AVENUE,41 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4485355,Sedan,Bike,,,
12/08/2021,19:30,MANHATTAN,10022,40.76175,-73.96899,"(40.76175, -73.96899)",,,127       EAST 58 STREET,1,0,0,0,1,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,,,,4484852,Station Wagon/Sport Utility Vehicle,Bike,,,
12/08/2021,12:00,MANHATTAN,10011,40.736614,-73.9951,"(40.736614, -73.9951)",,,44        WEST 14 STREET,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4485542,Box Truck,Bike,,,
03/26/2022,19:50,MANHATTAN,10012,40.730145,-73.99781,"(40.730145, -73.99781)",,,60        WASHINGTON SQUARE SOUTH,1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,,,,4513735,E-Bike,BOX VAN,,,
03/21/2022,19:13,,,40.731407,-73.99698,"(40.731407, -73.99698)",WASHINGTON SQUARE NORTH,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4514234,Sedan,Bike,,,
03/26/2022,2:10,MANHATTAN,10018,40.754707,-73.99164,"(40.754707, -73.99164)",WEST 38 STREET,8 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4513739,Bike,,,,
03/22/2022,8:20,BRONX,10467,40.87151,-73.87057,"(40.87151, -73.87057)",BURKE AVENUE,BRONX PARK EAST,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4514277,Sedan,Bike,,,
