collision_id,dates,times,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code_1,vehicle_type_code_2,street,bike_lane,day_of_week,month,temperature,visibility,humidity,wind_speed,weather_main
4271563,1/2/20,13:00:00,MANHATTAN,10003,40.714165,-74.00632,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,CHAMBERS STREET,1,Thursday,January,33.94,10000,61,9.17,Clear
4268322,1/2/20,16:00:00,MANHATTAN,10012,40.725643,-73.99207,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,sedan,Bike,BOWERY,1,Thursday,January,42.03,10000,54,9.17,Clear
4268207,1/2/20,17:00:00,BROOKLYN,11221,40.693874,-73.91777,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,station wagon/sport utility vehicle,Bike,CENTRAL AVENUE,0,Thursday,January,44.6,10000,48,12.75,Rain
4268408,1/3/20,8:00:00,BRONX,10456,40.820747,-73.906006,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,e-bike,Taxi,JACKSON AVENUE,0,Friday,January,46.78,10000,60,8.05,Rain
4269187,1/3/20,11:00:00,BROOKLYN,11205,40.691017,-73.954475,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unsafe Speed,sedan,E-Bike,DE KALB AVENUE,1,Friday,January,44.92,10000,74,8.05,Rain
4268760,1/3/20,13:00:00,BRONX,10456,40.831055,-73.905846,1,0,0,0,1,0,0,0,Unspecified,Unspecified,van,Bike,3 AVENUE,0,Friday,January,44.37,10000,81,9.17,Rain
4269539,1/4/20,2:00:00,QUEENS,11412,40.709023,-73.757835,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,104 AVENUE,0,Saturday,January,47.43,10000,81,5.82,Rain
4268883,1/5/20,9:00:00,MANHATTAN,10003,40.732845,-73.995926,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,taxi,Bike,EAST 9 STREET,1,Sunday,January,39.42,10000,57,28.86,Clouds
4269012,1/5/20,14:00:00,BROOKLYN,11236,40.64906,-73.91326,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,EAST 92 STREET,1,Sunday,January,39.02,10000,53,34.45,Clouds
4273384,1/6/20,19:00:00,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,SMITH STREET,1,Monday,January,43.83,10000,53,19.69,Clouds
