,the_geom,segmentid,Shape_Le_1,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit
0,"MULTILINESTRING ((-74.24992754986717 40.50087622728695, -74.24968956587347 40.50056347052719))",53,131.771990229,5,CONFERENCE HOUSE PARK GREENWAY,HYLAN BLVD,SWINNERTON ST,OFF,I,I,2,2,Greenway,Greenway
10,"MULTILINESTRING ((-74.22765169907424 40.50819902808055, -74.23006417208612 40.50775267723752))",735,690.286899293,5,HYLAN BLVD,PAGE AV,POILLON AV,ON,II,II,2,2,Standard,Standard
13,"MULTILINESTRING ((-74.22124840590146 40.50510100502328, -74.21939513546964 40.50342360965765, -74.21926443509075 40.503442943541735))",841,836.449298477,5,MOUNT LORETTO GREENWAY,HYLAN BLVD,HYLAN BLVD,OFF,I,I,2,2,Greenway,Greenway
28,"MULTILINESTRING ((-74.19697470899112 40.557563596282684, -74.19601789815624 40.556598641586355))",2416,440.773031133,1,79 ST NORTH ACCESS RAMP,W 79 ST,HUDSON RIVER GREENWAY 79TH ST LINK,OFF,II,"II,III",2,2,Curbside,Sharrows
45,"MULTILINESTRING ((-74.16694849149822 40.60279629778038, -74.16719634796591 40.602075311391395))",4871,271.541232331,5,ARLENE ST,LAMBERTS LA,SIGNS RD,ON,II,II,2,2,Standard,Standard
46,"MULTILINESTRING ((-74.1644874429756 40.59045548023953, -74.16482883097358 40.590139086973096))",4917,149.255762411,5,STEINWAY AVE,NOME AVE,TRAVIS AVE,ON,III,III,2,2,Sharrows,Sharrows
51,"MULTILINESTRING ((-74.16013627378767 40.591808324024186, -74.16089468149788 40.59223984956044))",5044,262.836118382,5,TRAVIS AVE,STEINWAY AVE,KELLY BLVD,ON,II,II,2,2,Standard,Standard
54,"MULTILINESTRING ((-74.18676019465556 40.629973358649266, -74.18676731022651 40.629946772699824, -74.1867719924096 40.629919874619766, -74.18677421675173 40.629892795024695, -74.1867739753424 40.6298656627022, -74.18677126736809 40.62983860822925, -74.18676610619639 40.62981176125902, -74.18675851819637 40.62978525142352, -74.18674853682127 40.629759205641406, -74.18673621325104 40.62973374990204, -74.18672160456012 40.62970900478183, -74.18670478082174 40.62968508993547, -74.1866858239133 40.62966211959538, -74.18666482515994 40.62964020527686, -74.18664188414242 40.62961945217813, -74.18661711106131 40.62959995917667, -74.18654525870367 40.629543604070065, -74.18646996022625 40.62948992365357, -74.18639138735753 40.62943904101342, -74.18630972007014 40.629391069317045, -74.18622514305757 40.629346119923476, -74.18613784807827 40.62930429517532, -74.18604803631932 40.62926568839507))",5135,348.64635535,5,GULF AV,WESTERN AV,GULF AV,OFF,I,I,2,2,Sidewalk,Sidewalk
66,"MULTILINESTRING ((-74.12675265275138 40.564444284977355, -74.1259802435955 40.5639746170227))",7487,274.475509069,5,GUYON AV,S RAILROAD AV,ACORN ST,ON,II,"III,II",2,2,Sharrows,Curbside
71,"MULTILINESTRING ((-74.12514181938411 40.56588879133578, -74.12570887501126 40.56532636094399))",7507,258.474629168,5,S RAILROAD AV,GUYON AV,BEACH AV,ON,III,III,2,2,Sharrows,Sharrows
