,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
0,STATEN ISLAND,CONFERENCE HOUSE PARK GREENWAY,2,2,Greenway,40.500876,-74.249928,40.500563,-74.24969
10,STATEN ISLAND,HYLAN BLVD,2,2,Standard,40.508199,-74.227652,40.507753,-74.230064
13,STATEN ISLAND,MOUNT LORETTO GREENWAY,2,2,Greenway,40.505101,-74.221248,40.503424,-74.219395
28,MANHATTAN,79 ST NORTH ACCESS RAMP,2,2,Curbside,40.557564,-74.196975,40.556599,-74.196018
45,STATEN ISLAND,ARLENE ST,2,2,Standard,40.602796,-74.166948,40.602075,-74.167196
46,STATEN ISLAND,STEINWAY AVE,2,2,Sharrows,40.590455,-74.164487,40.590139,-74.164829
51,STATEN ISLAND,TRAVIS AVE,2,2,Standard,40.591808,-74.160136,40.59224,-74.160895
54,STATEN ISLAND,GULF AV,2,2,Sidewalk,40.629973,-74.18676,40.629947,-74.186767
66,STATEN ISLAND,GUYON AV,2,2,Sharrows,40.564444,-74.126753,40.563975,-74.12598
71,STATEN ISLAND,S RAILROAD AV,2,2,Sharrows,40.565889,-74.125142,40.565326,-74.125709
80,STATEN ISLAND,KELLY BLVD,2,2,Standard,40.588466,-74.152631,40.587892,-74.153183
82,STATEN ISLAND,ROCKLAND AVE,2,2,Sharrows,40.589493,-74.149728,40.590179,-74.150968
86,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.629844,-74.123614,40.629249,-74.12322
100,STATEN ISLAND,BEACH AV,R,1,Signed Route,40.571343,-74.120053,40.57125,-74.119895
104,QUEENS,11 AV,R,1,Standard,40.626361,-74.0083,40.625802,-74.008879
108,STATEN ISLAND,NEW DORP PLZ,R,1,Standard,40.57256,-74.11889,40.571474,-74.120283
114,STATEN ISLAND,N RAILROAD AV,R,1,Standard,40.574552,-74.116153,40.574159,-74.116683
117,STATEN ISLAND,MILL RD,2,2,Sharrows,40.557283,-74.114169,40.557131,-74.114731
136,STATEN ISLAND,NEW DORP LN,2,2,Sharrows,40.568778,-74.106604,40.568255,-74.105473
142,STATEN ISLAND,MIDLAND AV,2,2,Standard,40.577944,-74.102316,40.57748,-74.101429
178,QUEENS,10 AV,L,1,,40.628161,-74.010014,40.627693,-74.0105
184,STATEN ISLAND,JEFFERSON AV,L,1,,40.584224,-74.102789,40.584107,-74.102633
188,STATEN ISLAND,JEFFERSON ST,2,2,Sharrows,40.584776,-74.102043,40.584224,-74.102789
198,MANHATTAN,MADISON AV BR,2,0,,40.814263,-73.934172,40.814257,-73.934068
200,STATEN ISLAND,BUEL AV,2,2,Sharrows,40.588388,-74.099638,40.58781,-74.098506
207,STATEN ISLAND,MASON AV,2,2,Standard,40.584143,-74.089121,40.583392,-74.089784
216,STATEN ISLAND,VAN DUZER ST,R,1,Buffered,40.620376,-74.085813,40.619909,-74.085899
234,STATEN ISLAND,RICHMOND RD,R,1,Bike-Friendly Parking,40.610664,-74.088997,40.609848,-74.089588
245,STATEN ISLAND,RICHMOND TER,2,2,Sharrows,40.645382,-74.102974,40.645385,-74.103095
250,QUEENS,KANE ST,L,1,,40.686096,-73.996358,40.685775,-73.995386
256,STATEN ISLAND,OCEAN AV,R,1,Sharrows,40.596183,-74.063549,40.595599,-74.063122
257,STATEN ISLAND,LILY POND AV,2,2,Standard,40.600182,-74.064637,40.598935,-74.063759
261,STATEN ISLAND,DRURY AV,R,1,Sharrows,40.594189,-74.061818,40.593582,-74.062601
262,STATEN ISLAND,TARGEE ST,L,1,,40.609879,-74.087208,40.608981,-74.088125
265,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.6135,-74.08693,40.613307,-74.08721
292,STATEN ISLAND,BROAD ST,2,2,Standard,40.623253,-74.083824,40.622801,-74.08525
303,STATEN ISLAND,ST PAULS AVE,R,1,Standard,40.627883,-74.0836,40.627668,-74.08374
306,MANHATTAN,RFK BR,2,0,,40.801456,-73.931421,40.801354,-73.931182
321,STATEN ISLAND,BAY ST,2,2,Sharrows,40.629298,-74.076604,40.62907,-74.076562
339,STATEN ISLAND,FRONT ST,2,2,Standard,40.626818,-74.074128,40.626114,-74.073975
361,QUEENS,RUGBY RD,R,1,Standard,40.636688,-73.964513,40.6351,-73.964216
362,STATEN ISLAND,SCHOOL RD,2,2,Standard,40.606043,-74.063349,40.605314,-74.065002
379,STATEN ISLAND,SWAN ST,R,1,Sharrows,40.634716,-74.077627,40.634864,-74.078455
392,STATEN ISLAND,FERRY TERMINAL VIADUCT,2,2,Protected Path,40.642147,-74.074947,40.642199,-74.074654
394,QUEENS,SHORE RD,R,1,Standard,40.624913,-74.040663,40.624861,-74.040669
396,QUEENS,86 ST,2,2,Standard,40.625688,-74.040744,40.625371,-74.039109
397,QUEENS,MARINE AVENUE,2,2,Sharrows,40.617055,-74.035925,40.616671,-74.035682
412,QUEENS,COLONIAL RD,L,1,,40.621275,-74.03784,40.620585,-74.038094
418,QUEENS,85 ST,R,1,Standard,40.626216,-74.038717,40.625599,-74.036071
430,QUEENS,RIDGE BL,R,1,Standard,40.618168,-74.036162,40.617989,-74.036491
432,QUEENS,7 Av,R,1,Standard,40.622449,-74.02165,40.621917,-74.022318
449,QUEENS,84 ST,L,1,,40.626285,-74.035789,40.625647,-74.033108
458,QUEENS,FT HAMILTON PARKWAY,2,2,Sharrows,40.613927,-74.030164,40.613122,-74.030854
469,QUEENS,BAY RIDGE PKWY,2,2,Sharrows,40.632735,-74.033155,40.632099,-74.030473
486,QUEENS,84 ST PED OVPS,2,0,,40.621211,-74.022625,40.621264,-74.022555
489,QUEENS,72 STREET,R,1,Standard,40.633096,-74.025178,40.632859,-74.024238
491,QUEENS,CROPSEY AV,2,2,Standard,40.607822,-74.021506,40.607666,-74.021261
493,QUEENS,7 AV,2,2,Standard,40.616166,-74.022161,40.61458,-74.022797
508,QUEENS,6 AVENUE,2,2,Sharrows,40.622896,-74.022389,40.622178,-74.022687
526,QUEENS,5 AVENUE,2,2,Sharrows,40.632579,-74.021375,40.631688,-74.021737
551,QUEENS,OVINGTON RD,2,2,Standard,40.630412,-74.016614,40.630286,-74.016343
558,QUEENS,72 ST,R,1,Standard,40.635985,-74.037245,40.635783,-74.0365
568,QUEENS,68 ST,L,1,,40.639763,-74.035588,40.639355,-74.034382
587,QUEENS,68 STREET,L,1,,40.635319,-74.023235,40.634169,-74.020722
589,QUEENS,3 AV,R,1,Standard,40.63714,-74.025472,40.636668,-74.025666
594,QUEENS,57 ST,L,1,,40.646502,-74.023205,40.645173,-74.021003
602,QUEENS,5 AV,2,2,Sharrows,40.636576,-74.019185,40.63608,-74.019704
603,QUEENS,58 ST,R,1,Sharrows,40.64332,-74.019457,40.643271,-74.019387
605,QUEENS,2 AV,R,1,Sharrows,40.645173,-74.021003,40.644598,-74.021598
609,QUEENS,66 ST,2,2,Protected Path,40.633517,-74.015602,40.633222,-74.015146
612,QUEENS,62 ST,R,1,Standard,40.638341,-74.017351,40.637015,-74.015146
613,QUEENS,6 AV,L,1,,40.636138,-74.016068,40.635896,-74.016305
617,QUEENS,44 ST,R,1,Sharrows,40.653782,-74.015631,40.652454,-74.013431
618,MANHATTAN,GOVERNORS ISLAND GREENWAY,2,2,Greenway,40.685139,-74.021137,40.684791,-74.021912
620,QUEENS,FERRIS ST,2,2,Signed Route,40.678123,-74.016903,40.677594,-74.017534
623,MANHATTAN,OWASCO ROAD,2,2,Greenway,40.688324,-74.016653,40.687621,-74.017752
624,MANHATTAN,DIV RD,2,2,Greenway,40.687938,-74.018116,40.688222,-74.018439
628,MANHATTAN,CLAYTON ROAD,2,2,Greenway,40.68763,-74.016354,40.687761,-74.016441
629,MANHATTAN,CRAIG RD S,2,2,Greenway,40.687399,-74.016165,40.68699,-74.017047
635,MANHATTAN,CRAIG RD N,2,2,Greenway,40.691506,-74.020592,40.690778,-74.021361
641,MANHATTAN,WHEELER AVENUE,2,2,Greenway,40.691071,-74.019367,40.69091,-74.019628
643,MANHATTAN,HAY ROAD,2,2,Greenway,40.692702,-74.018884,40.692086,-74.018876
644,MANHATTAN,BATTERY PARK CITY GREENWAY,2,2,Greenway,40.706966,-74.018895,40.706874,-74.018502
652,MANHATTAN,COMFORT ROAD,2,2,Greenway,40.688303,-74.016501,40.688789,-74.01672
654,MANHATTAN,ANDES ROAD,2,2,Greenway,40.692672,-74.018229,40.692702,-74.018884
655,MANHATTAN,CARDER RD,2,2,Greenway,40.692963,-74.016914,40.693245,-74.017061
657,MANHATTAN,FERRY LINE ROAD,2,2,Greenway,40.692792,-74.015428,40.692463,-74.015522
660,MANHATTAN,SOUTH END AV,2,2,Bike-Friendly Parking,40.707969,-74.017714,40.708457,-74.017398
