,LATITUDE,LONGITUDE,ZIP CODE
1,40.784615,-73.953964,
8,40.731407,-73.99698,
12,40.804585,-73.94782,
19,40.79293,-73.950005,
21,40.601864,-74.00232,
27,40.759163,-73.988396,
29,40.748436,-73.984566,
32,40.76122,-73.93056,
35,40.810173,-73.95117,
41,40.852673,-73.919106,
47,40.69613,-73.987114,
49,40.80777,-73.94549,
53,40.828346,-73.94906,
58,40.793472,-73.93726,
59,40.763374,-73.99647,
69,40.647243,-73.96048,
70,40.676598,-73.93039,
71,40.69925,-73.973206,
77,40.732254,-73.99636,
78,40.790623,-73.942444,
79,40.652954,-74.00215,
82,40.638523,-73.97319,
87,40.814632,-73.9442,
96,40.817898,-73.938095,
98,40.69666,-73.93109,
101,40.784943,-73.946594,
116,40.753986,-73.80769,
120,40.58516,-73.9874,
122,40.753304,-73.912575,
129,40.730194,-73.887566,
138,40.806705,-73.952866,
141,40.642548,-74.016655,
142,40.71523,-74.01334,
146,40.72202,-73.98345,
151,40.82538,-73.94006,
154,40.682186,-73.86982,
158,40.63667,-74.02567,
160,40.82942,-73.91226,
164,40.641212,-73.96444,
168,40.79793,-73.934,
170,40.729446,-74.00518,
172,40.6686,-73.73676,
184,40.79599,-73.96896,
185,40.721375,-73.7903,
187,40.735313,-73.994125,
192,40.756474,-73.94727,
198,40.69529,-73.94339,
204,40.691227,-73.98214,
210,40.68286,-73.97278,
218,40.767803,-73.95601,
220,40.85432,-73.92826,
222,40.70324,-73.92615,
227,40.752724,-73.996796,
232,40.850822,-73.90147,
244,40.795956,-73.97083,
245,40.808292,-73.94883,
254,40.796215,-73.822975,
257,40.87028,-73.878395,
262,40.68405,-73.98157,
269,40.68936,-73.7848,
279,40.737865,-74.00019,
280,40.702362,-73.91291,
281,40.640762,-74.00767,
285,40.692062,-73.95191,
286,40.811977,-73.92373,
291,40.63777,-74.07602,
299,40.824562,-73.948105,
311,40.645103,-74.01033,
312,40.668507,-73.92561,
313,40.65488,-73.96189,
320,40.743664,-73.856064,
323,40.6931,-73.95489,
324,40.83608,-73.93996,
330,40.790623,-73.942444,
332,40.77178,-73.9792,
334,40.692314,-73.88268,
341,40.676292,-73.92484,
344,40.844116,-73.89857,
345,40.76025,-73.96753,
351,40.659405,-73.9505,
355,40.687637,-73.97077,
359,40.759872,-73.784485,
360,40.626156,-73.983475,
361,40.82138,-73.95414,
362,40.814632,-73.9442,
363,40.895374,-73.86356,
365,40.73885,-73.810356,
367,40.824738,-73.95435,
371,40.807037,-73.949745,
379,40.81728,-73.938545,
382,40.69642,-73.95978,
383,40.73303,-73.8542,
384,40.766666,-73.96707,
401,40.88788,-73.85028,
402,40.811108,-73.92734,
410,40.770424,-73.96222,
411,40.7083,-74.01125,
420,40.720627,-74.00522,
421,40.668495,-73.925606,
422,40.712856,-73.9049,
423,40.77234,-73.95269,
426,40.643425,-74.01207,
427,40.72293,-73.847336,
436,40.68029,-73.94774,
443,40.78762,-73.84877,
445,40.7448,-73.953415,
450,40.777874,-73.95175,
457,40.69423,-73.94608,
459,40.64495,-73.9249,
460,40.695004,-73.9525,
472,40.75108,-73.98686,
473,40.750244,-73.920135,
483,40.624172,-73.94836,
487,40.80907,-73.94455,
488,40.753677,-73.914474,
494,40.833096,-73.94066,
495,40.79507,-73.93919,
496,40.63552,-74.0167,
497,40.578938,-73.98522,
499,40.802074,-73.93407,
505,40.80322,-73.95253,
514,40.617287,-73.97786,
518,40.80003,-73.954865,
521,40.6664,-73.74011,
523,40.704304,-73.92981,
536,40.78178,-73.98508,
543,40.86857,-73.93093,
550,40.878464,-73.82828,
559,40.676937,-73.92183,
563,40.81339,-73.95627,
