,COLLISION_ID,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,BIKE_LANE,DAY_OF_WEEK,MONTH
0,4271563," January 2, 2020",13:00:00,MANHATTAN,10003,40.714165,-74.00632,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,CHAMBERS STREET,1,Thursday,January
1,4268322," January 2, 2020",16:00:00,MANHATTAN,10012,40.725643,-73.99207,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,sedan,Bike,BOWERY,1,Thursday,January
2,4268207," January 2, 2020",17:00:00,BROOKLYN,11221,40.693874,-73.91777,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,station wagon/sport utility vehicle,Bike,CENTRAL AVENUE,0,Thursday,January
3,4268408," January 3, 2020",8:00:00,BRONX,10456,40.820747,-73.906006,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,e-bike,Taxi,JACKSON AVENUE,0,Friday,January
4,4269187," January 3, 2020",11:00:00,BROOKLYN,11205,40.691017,-73.954475,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unsafe Speed,sedan,E-Bike,DE KALB AVENUE,1,Friday,January
5,4268760," January 3, 2020",13:00:00,BRONX,10456,40.831055,-73.905846,1,0,0,0,1,0,0,0,Unspecified,Unspecified,van,Bike,3 AVENUE,0,Friday,January
6,4269539," January 4, 2020",2:00:00,QUEENS,11412,40.709023,-73.757835,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,104 AVENUE,0,Saturday,January
7,4268883," January 5, 2020",9:00:00,MANHATTAN,10003,40.732845,-73.995926,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,taxi,Bike,EAST 9 STREET,1,Sunday,January
8,4269012," January 5, 2020",14:00:00,BROOKLYN,11236,40.64906,-73.91326,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,EAST 92 STREET,1,Sunday,January
9,4273384," January 6, 2020",19:00:00,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,SMITH STREET,1,Monday,January
10,4269642," January 6, 2020",19:00:00,MANHATTAN,10016,40.748302,-73.97835,1,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,E-Bike,EAST 37 STREET,1,Monday,January
11,4269922," January 7, 2020",9:00:00,BRONX,10455,40.82017,-73.91591,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,MELROSE AVENUE,0,Tuesday,January
12,4270047," January 7, 2020",11:00:00,BRONX,10451,40.820515,-73.930695,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,pick-up truck,E-Bike,EXTERIOR STREET,0,Tuesday,January
13,4271589," January 7, 2020",14:00:00,BROOKLYN,11217,40.682644,-73.97175,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,CUMBERLAND STREET,0,Tuesday,January
14,4270440," January 7, 2020",14:00:00,MANHATTAN,10022,40.755756,-73.96479,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,EAST 53 STREET,0,Tuesday,January
15,4270154," January 7, 2020",16:00:00,BRONX,10455,40.813084,-73.90419,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Other Vehicular,sedan,E-Scooter,PROSPECT AVENUE,0,Tuesday,January
16,4286844," January 7, 2020",17:00:00,QUEENS,11378,40.722332,-73.91344,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,57 PLACE,0,Tuesday,January
17,4270187," January 7, 2020",22:00:00,QUEENS,11419,40.685566,-73.83343,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,103 AVENUE,1,Tuesday,January
18,4270769," January 8, 2020",7:00:00,BROOKLYN,11218,40.636414,-73.979294,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,DAHILL ROAD,1,Wednesday,January
19,4272704," January 8, 2020",13:00:00,QUEENS,11373,40.741734,-73.881874,1,0,0,0,1,0,0,0,Unspecified,Unspecified,pick-up truck,E-Bike,45 AVENUE,0,Wednesday,January
20,4382766," January 8, 2020",16:00:00,MANHATTAN,10011,40.73736,-73.99685,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,E-Scooter,WEST 14 STREET,1,Wednesday,January
21,4271924," January 8, 2020",17:00:00,BRONX,10458,40.856743,-73.89527,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,E-Scooter,WEBSTER AVENUE,0,Wednesday,January
22,4270742," January 8, 2020",17:00:00,BROOKLYN,11230,40.61265,-73.96187,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,e-scooter,Sedan,EAST 12 STREET,0,Wednesday,January
23,4271164," January 9, 2020",6:00:00,BRONX,10451,40.823383,-73.91834,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,PARK AVENUE,0,Thursday,January
24,4271019," January 9, 2020",12:00:00,BRONX,10455,40.818157,-73.90625,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,sedan,Bike,FOREST AVENUE,0,Thursday,January
25,4271100," January 9, 2020",13:00:00,MANHATTAN,10012,40.723022,-73.99882,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,box truck,Station Wagon/Sport Utility Vehicle,BROADWAY,1,Thursday,January
26,4272735," January 9, 2020",17:00:00,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,SMITH STREET,1,Thursday,January
27,4271080," January 9, 2020",18:00:00,MANHATTAN,10027,40.810276,-73.94738,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,bike,Sedan,7 AVENUE,0,Thursday,January
28,4273133," January 9, 2020",19:00:00,MANHATTAN,10034,40.867012,-73.92312,1,0,0,0,1,0,0,0,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,Bike,BROADWAY,0,Thursday,January
29,4271465," January 9, 2020",23:00:00,BROOKLYN,11237,40.697716,-73.967735,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,tractor truck diesel,Bike,FLUSHING AVENUE,0,Thursday,January
30,4283313," January 10, 2020",5:00:00,MANHATTAN,10017,40.75603,-73.979034,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,taxi,Bike,EAST 46 STREET,1,Friday,January
31,4271293," January 10, 2020",8:00:00,BROOKLYN,11201,40.69456,-73.99067,1,0,0,0,1,0,0,0,Passing Too Closely,Following Too Closely,bike,Sedan,PIERREPONT STREET,1,Friday,January
32,4272313," January 10, 2020",10:00:00,BROOKLYN,11205,40.698463,-73.960205,1,0,0,0,1,0,0,0,Other Vehicular,Other Vehicular,station wagon/sport utility vehicle,Bike,FLUSHING AVENUE,0,Friday,January
33,4272017," January 10, 2020",15:00:00,QUEENS,11372,40.749157,-73.86943,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,JUNCTION BOULEVARD,0,Friday,January
34,4274510," January 10, 2020",15:00:00,QUEENS,11385,40.703873,-73.91256,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,bike,Station Wagon/Sport Utility Vehicle,CYPRESS AVENUE,1,Friday,January
35,4271950," January 10, 2020",17:00:00,QUEENS,11378,40.716793,-73.92155,1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,station wagon/sport utility vehicle,Bike,GRAND AVENUE,0,Friday,January
