,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
0,STATEN ISLAND,CONFERENCE HOUSE PARK GREENWAY,2,2,Greenway,40.500876,-74.249928,40.500563,-74.24969
10,STATEN ISLAND,HYLAN BLVD,2,2,Standard,40.508199,-74.227652,40.507753,-74.230064
13,STATEN ISLAND,MOUNT LORETTO GREENWAY,2,2,Greenway,40.505101,-74.221248,40.503424,-74.219395
28,MANHATTAN,79 ST NORTH ACCESS RAMP,2,2,Curbside,40.557564,-74.196975,40.556599,-74.196018
45,STATEN ISLAND,ARLENE ST,2,2,Standard,40.602796,-74.166948,40.602075,-74.167196
46,STATEN ISLAND,STEINWAY AVE,2,2,Sharrows,40.590455,-74.164487,40.590139,-74.164829
51,STATEN ISLAND,TRAVIS AVE,2,2,Standard,40.591808,-74.160136,40.59224,-74.160895
54,STATEN ISLAND,GULF AV,2,2,Sidewalk,40.629973,-74.18676,40.629947,-74.186767
55,STATEN ISLAND,GULF AV,2,2,Protected Path,40.62749,-74.182357,40.627408,-74.182212
66,STATEN ISLAND,GUYON AV,2,2,Sharrows,40.564444,-74.126753,40.563975,-74.12598
67,STATEN ISLAND,GUYON AV,2,2,Sharrows,40.563975,-74.12598,40.563527,-74.125235
71,STATEN ISLAND,S RAILROAD AV,2,2,Sharrows,40.565889,-74.125142,40.565326,-74.125709
80,STATEN ISLAND,KELLY BLVD,2,2,Standard,40.588466,-74.152631,40.587892,-74.153183
82,STATEN ISLAND,ROCKLAND AVE,2,2,Sharrows,40.589493,-74.149728,40.590179,-74.150968
83,STATEN ISLAND,ROCKLAND AVE,2,2,Standard,40.588842,-74.148693,40.589493,-74.149728
86,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.629844,-74.123614,40.629249,-74.12322
100,STATEN ISLAND,BEACH AV,R,1,Signed Route,40.571343,-74.120053,40.57125,-74.119895
104,QUEENS,11 AV,R,1,Standard,40.626361,-74.0083,40.625802,-74.008879
108,STATEN ISLAND,NEW DORP PLZ,R,1,Standard,40.57256,-74.11889,40.571474,-74.120283
109,STATEN ISLAND,NEW DORP PLZ,L,1,,40.572353,-74.118518,40.57125,-74.119895
114,STATEN ISLAND,N RAILROAD AV,R,1,Standard,40.574552,-74.116153,40.574159,-74.116683
117,STATEN ISLAND,MILL RD,2,2,Sharrows,40.557283,-74.114169,40.557131,-74.114731
124,STATEN ISLAND,S RAILROAD AV,L,1,,40.57489,-74.114842,40.574414,-74.115522
131,STATEN ISLAND,MILL RD,2,2,Standard,40.562547,-74.11149,40.561458,-74.112263
136,STATEN ISLAND,NEW DORP LN,2,2,Sharrows,40.568778,-74.106604,40.568255,-74.105473
142,STATEN ISLAND,MIDLAND AV,2,2,Standard,40.577944,-74.102316,40.57748,-74.101429
163,STATEN ISLAND,MIDLAND AV,R,1,Standard,40.58073,-74.107556,40.580644,-74.107397
178,QUEENS,10 AV,L,1,,40.628161,-74.010014,40.627693,-74.0105
184,STATEN ISLAND,JEFFERSON AV,L,1,,40.584224,-74.102789,40.584107,-74.102633
188,STATEN ISLAND,JEFFERSON ST,2,2,Sharrows,40.584776,-74.102043,40.584224,-74.102789
189,STATEN ISLAND,HYLAN BLVD,L,1,,40.578624,-74.10167,40.577944,-74.102316
198,MANHATTAN,MADISON AV BR,2,0,,40.814263,-73.934172,40.814257,-73.934068
200,STATEN ISLAND,BUEL AV,2,2,Sharrows,40.588388,-74.099638,40.58781,-74.098506
205,STATEN ISLAND,BUEL AV,2,2,Standard,40.58524,-74.093407,40.584299,-74.091568
207,STATEN ISLAND,MASON AV,2,2,Standard,40.584143,-74.089121,40.583392,-74.089784
208,STATEN ISLAND,CLOVE ROAD,2,2,Standard,40.626989,-74.120569,40.626536,-74.120129
216,STATEN ISLAND,VAN DUZER ST,R,1,Buffered,40.620376,-74.085813,40.619909,-74.085899
220,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.621194,-74.110944,40.620688,-74.110016
221,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.620688,-74.110016,40.620296,-74.109108
222,STATEN ISLAND,CLOVE ROAD,2,2,Curbside,40.620296,-74.109108,40.619699,-74.107706
225,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.616416,-74.103509,40.615781,-74.103026
226,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.615781,-74.103026,40.615187,-74.102568
227,STATEN ISLAND,CLOVE ROAD,2,2,Standard,40.615187,-74.102568,40.6146,-74.102094
233,STATEN ISLAND,CLOVE ROAD,2,2,Sharrows,40.612919,-74.099877,40.612419,-74.09935
234,STATEN ISLAND,RICHMOND RD,R,1,Bike-Friendly Parking,40.610664,-74.088997,40.609848,-74.089588
236,STATEN ISLAND,RICHMOND RD,R,1,Standard,40.611672,-74.088332,40.610859,-74.088866
240,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.615318,-74.087834,40.615243,-74.087851
241,STATEN ISLAND,VAN DUZER ST,R,1,Sharrows,40.614419,-74.087428,40.613307,-74.08721
245,STATEN ISLAND,RICHMOND TER,2,2,Sharrows,40.645382,-74.102974,40.645385,-74.103095
249,STATEN ISLAND,RICHMOND TER,2,2,Curbside,40.644811,-74.095968,40.644754,-74.096464
250,QUEENS,KANE ST,L,1,,40.686096,-73.996358,40.685775,-73.995386
255,STATEN ISLAND,RICHMOND TER,2,2,Signed Route,40.646664,-74.088933,40.646458,-74.089297
256,STATEN ISLAND,OCEAN AV,R,1,Sharrows,40.596183,-74.063549,40.595599,-74.063122
257,STATEN ISLAND,LILY POND AV,2,2,Standard,40.600182,-74.064637,40.598935,-74.063759
261,STATEN ISLAND,DRURY AV,R,1,Sharrows,40.594189,-74.061818,40.593582,-74.062601
262,STATEN ISLAND,TARGEE ST,L,1,,40.609879,-74.087208,40.608981,-74.088125
265,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.6135,-74.08693,40.613307,-74.08721
280,STATEN ISLAND,VAN DUZER ST,R,1,Sharrows,40.617832,-74.086268,40.617169,-74.086572
287,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.619909,-74.085899,40.6191,-74.086006
289,STATEN ISLAND,TARGEE ST,L,1,,40.620226,-74.084471,40.619808,-74.084561
292,STATEN ISLAND,BROAD ST,2,2,Standard,40.623253,-74.083824,40.622801,-74.08525
293,STATEN ISLAND,VAN DUZER ST,R,1,Curbside,40.626267,-74.084154,40.624625,-74.084962
303,STATEN ISLAND,ST PAULS AVE,R,1,Standard,40.627883,-74.0836,40.627668,-74.08374
304,STATEN ISLAND,ST PAULS AVE,R,1,Buffered,40.630012,-74.081731,40.62993,-74.081839
305,STATEN ISLAND,ST PAULS AVE,R,1,Sharrows,40.630301,-74.081406,40.630012,-74.081731
306,MANHATTAN,RFK BR,2,0,,40.801456,-73.931421,40.801354,-73.931182
307,STATEN ISLAND,ST PAULS AVE,R,1,Buffered,40.631212,-74.080356,40.630301,-74.081406
308,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.618553,-74.080001,40.617789,-74.081103
309,STATEN ISLAND,VANDERBILT AV,2,2,Sharrows,40.618886,-74.079389,40.618553,-74.080001
310,STATEN ISLAND,VANDERBILT AV,2,2,Standard,40.619585,-74.078054,40.618886,-74.079389
317,STATEN ISLAND,VAN DUZER ST,L,1,,40.628951,-74.079725,40.628262,-74.08038
321,STATEN ISLAND,BAY ST,2,2,Sharrows,40.629298,-74.076604,40.62907,-74.076562
332,STATEN ISLAND,BROAD ST,2,2,Standard,40.62551,-74.075983,40.625288,-74.077413
339,STATEN ISLAND,FRONT ST,2,2,Standard,40.626818,-74.074128,40.626114,-74.073975
349,STATEN ISLAND,BAY ST,2,2,Sharrows,40.619466,-74.070145,40.61899,-74.06974
351,STATEN ISLAND,BAY ST,2,2,Sharrows,40.621859,-74.072064,40.621461,-74.071742
358,STATEN ISLAND,BAY ST,2,2,Sharrows,40.614089,-74.066134,40.61335,-74.065587
361,QUEENS,RUGBY RD,R,1,Standard,40.636688,-73.964513,40.6351,-73.964216
362,STATEN ISLAND,SCHOOL RD,2,2,Standard,40.606043,-74.063349,40.605314,-74.065002
379,STATEN ISLAND,SWAN ST,R,1,Sharrows,40.634716,-74.077627,40.634864,-74.078455
381,STATEN ISLAND,VAN DUZER ST,L,1,,40.637864,-74.077982,40.635649,-74.076878
382,STATEN ISLAND,VAN DUZER ST,L,1,,40.638104,-74.077929,40.637864,-74.077982
389,STATEN ISLAND,SWAN ST,R,1,Buffered,40.635147,-74.075671,40.634997,-74.076446
390,STATEN ISLAND,BAY ST,2,2,Standard,40.636562,-74.076179,40.635936,-74.075848
