COLLISION_ID,DATES,TIME,DAY_OF_WEEK,MONTH,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,BIKE_LANE
4271563," January 2, 2020",13:00:00,Thursday,January,MANHATTAN,10003,40.714165,-74.00632,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,CHAMBERS STREET,33.94,10000.00,61,9.17,Clear,1
4268322," January 2, 2020",16:00:00,Thursday,January,MANHATTAN,10012,40.725643,-73.99207,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,sedan,Bike,BOWERY,42.03,10000.00,54,9.17,Clear,1
4268207," January 2, 2020",17:00:00,Thursday,January,BROOKLYN,11221,40.693874,-73.91777,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,station wagon/sport utility vehicle,Bike,CENTRAL AVENUE,44.6,10000.00,48,12.75,Rain,0
4268408," January 3, 2020",8:00:00,Friday,January,BRONX,10456,40.820747,-73.906006,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,e-bike,Taxi,JACKSON AVENUE,46.78,10000.00,60,8.05,Rain,0
4269187," January 3, 2020",11:00:00,Friday,January,BROOKLYN,11205,40.691017,-73.954475,1,0,0,0,1,0,0,0,View Obstructed/Limited,Unsafe Speed,sedan,E-Bike,DE KALB AVENUE,44.92,10000.00,74,8.05,Rain,1
4268760," January 3, 2020",13:00:00,Friday,January,BRONX,10456,40.831055,-73.905846,1,0,0,0,1,0,0,0,Unspecified,Unspecified,van,Bike,3 AVENUE,44.37,10000.00,81,9.17,Rain,0
4269539," January 4, 2020",2:00:00,Saturday,January,QUEENS,11412,40.709023,-73.757835,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,104 AVENUE,47.43,10000.00,81,5.82,Rain,0
4268883," January 5, 2020",9:00:00,Sunday,January,MANHATTAN,10003,40.732845,-73.995926,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,taxi,Bike,EAST 9 STREET,39.42,10000.00,57,28.86,Clouds,1
4269012," January 5, 2020",14:00:00,Sunday,January,BROOKLYN,11236,40.64906,-73.91326,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,EAST 92 STREET,39.02,10000.00,53,34.45,Clouds,1
4273384," January 6, 2020",19:00:00,Monday,January,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,SMITH STREET,43.83,10000.00,53,19.69,Clouds,1
4269642," January 6, 2020",19:00:00,Monday,January,MANHATTAN,10016,40.748302,-73.97835,1,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,E-Bike,EAST 37 STREET,43.83,10000.00,53,19.69,Clouds,1
4269922," January 7, 2020",9:00:00,Tuesday,January,BRONX,10455,40.82017,-73.91591,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,MELROSE AVENUE,38.98,10000.00,49,13,Clear,0
4270047," January 7, 2020",11:00:00,Tuesday,January,BRONX,10451,40.820515,-73.930695,1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,pick-up truck,E-Bike,EXTERIOR STREET,38.59,10000.00,50,11.99,Clear,0
4271589," January 7, 2020",14:00:00,Tuesday,January,BROOKLYN,11217,40.682644,-73.97175,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,CUMBERLAND STREET,38.16,10000.00,48,10,Clear,0
4270440," January 7, 2020",14:00:00,Tuesday,January,MANHATTAN,10022,40.755756,-73.96479,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,EAST 53 STREET,38.16,10000.00,48,10,Clear,0
4270154," January 7, 2020",16:00:00,Tuesday,January,BRONX,10455,40.813084,-73.90419,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Other Vehicular,sedan,E-Scooter,PROSPECT AVENUE,42.17,10000.00,47,4.7,Clear,0
4286844," January 7, 2020",17:00:00,Tuesday,January,QUEENS,11378,40.722332,-73.91344,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,57 PLACE,42.6,10000.00,44,5.82,Clear,0
4270187," January 7, 2020",22:00:00,Tuesday,January,QUEENS,11419,40.685566,-73.83343,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,103 AVENUE,41.83,10000.00,55,10.29,Clouds,1
4270769," January 8, 2020",7:00:00,Wednesday,January,BROOKLYN,11218,40.636414,-73.979294,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,DAHILL ROAD,35.2,10000.00,74,13.87,Clear,1
4272704," January 8, 2020",13:00:00,Wednesday,January,QUEENS,11373,40.741734,-73.881874,1,0,0,0,1,0,0,0,Unspecified,Unspecified,pick-up truck,E-Bike,45 AVENUE,33.44,10000.00,74,17.22,Clear,0
4382766," January 8, 2020",16:00:00,Wednesday,January,MANHATTAN,10011,40.73736,-73.99685,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,E-Scooter,WEST 14 STREET,38.8,10000.00,62,23.04,Clouds,1
4271924," January 8, 2020",17:00:00,Wednesday,January,BRONX,10458,40.856743,-73.89527,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,E-Scooter,WEBSTER AVENUE,41.18,10000.00,53,26.4,Clouds,0
4270742," January 8, 2020",17:00:00,Wednesday,January,BROOKLYN,11230,40.61265,-73.96187,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,e-scooter,Sedan,EAST 12 STREET,41.18,10000.00,53,26.4,Clouds,0
4271164," January 9, 2020",6:00:00,Thursday,January,BRONX,10451,40.823383,-73.91834,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,PARK AVENUE,28.35,10000.00,47,29.97,Clouds,0
4271019," January 9, 2020",12:00:00,Thursday,January,BRONX,10455,40.818157,-73.90625,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,sedan,Bike,FOREST AVENUE,24.91,10000.00,55,19.69,Clear,0
4271100," January 9, 2020",13:00:00,Thursday,January,MANHATTAN,10012,40.723022,-73.99882,1,0,0,0,1,0,0,0,Passing Too Closely,Unspecified,box truck,Station Wagon/Sport Utility Vehicle,BROADWAY,24.93,10000.00,54,16.11,Clear,1
4272735," January 9, 2020",17:00:00,Thursday,January,BROOKLYN,11201,40.68481,-73.99177,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,SMITH STREET,29.97,10000.00,38,9.17,Clear,1
