,COLLISION_ID,index,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,Unnamed: 0,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,HOUR
0,4271563,13297,2020-01-02,13:00:00,MANHATTAN,10003,40.714165,-74.00632,"(40.714165, -74.00632)",1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike,CHAMBERS STREET,37,33.94,10000.0,61,9.17,Clear,13
1,4268322,13344,2020-01-02,16:00:00,MANHATTAN,10012,40.725643,-73.99207,"(40.725643, -73.99207)",1.0,0,0,0,1,0,0,0,Turning Improperly,Unspecified,Sedan,Bike,BOWERY,40,42.03,10000.0,54,9.17,Clear,16
2,4268207,13347,2020-01-02,17:00:00,BROOKLYN,11221,40.693874,-73.91777,"(40.693874, -73.91777)",1.0,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,CENTRAL AVENUE,41,44.6,10000.0,48,12.75,Rain,17
3,4268408,13304,2020-01-03,08:00:00,BRONX,10456,40.820747,-73.906006,"(40.820747, -73.906006)",1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,E-Bike,Taxi,JACKSON AVENUE,56,46.78,10000.0,60,8.05,Rain,8
4,4269187,13349,2020-01-03,11:00:00,BROOKLYN,11205,40.691017,-73.954475,"(40.691017, -73.954475)",1.0,0,0,0,1,0,0,0,View Obstructed/Limited,Unsafe Speed,Sedan,E-Bike,DE KALB AVENUE,59,44.92,10000.0,74,8.05,Rain,11
5,4268760,13308,2020-01-03,13:00:00,BRONX,10456,40.831055,-73.905846,"(40.831055, -73.905846)",1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,Van,Bike,3 AVENUE,61,44.37,10000.0,81,9.17,Rain,13
6,4269539,13255,2020-01-04,02:00:00,QUEENS,11412,40.709023,-73.757835,"(40.709023, -73.757835)",1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Bike,104 AVENUE,78,47.43,10000.0,81,5.82,Rain,2
7,4268883,13288,2020-01-05,09:00:00,MANHATTAN,10003,40.732845,-73.995926,"(40.732845, -73.995926)",1.0,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Taxi,Bike,EAST 9 STREET,120,39.42,10000.0,57,28.86,Clouds,9
8,4269012,13325,2020-01-05,14:00:00,BROOKLYN,11236,40.64906,-73.91326,"(40.64906, -73.91326)",1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Bike,EAST 92 STREET,125,39.02,10000.0,53,34.45,Clouds,14
9,4273384,13268,2020-01-06,19:00:00,BROOKLYN,11201,40.68481,-73.99177,"(40.68481, -73.99177)",1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,SMITH STREET,158,43.83,10000.0,53,19.69,Clouds,19
