,COLLISION_ID,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,BIKE_LANE
0,4271563,2020-01-02,13:00:00,MANHATTAN,10003,40.714165,-74.00632,1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,CHAMBERS STREET,33.94,10000.0,61,9.17,Clear,1
1,4268322,2020-01-02,16:00:00,MANHATTAN,10012,40.725643,-73.99207,1.0,0,0,0,1,0,0,0,Turning Improperly,Unspecified,sedan,Bike,BOWERY,42.03,10000.0,54,9.17,Clear,1
2,4268207,2020-01-02,17:00:00,BROOKLYN,11221,40.693874,-73.91777,1.0,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,station wagon/sport utility vehicle,Bike,CENTRAL AVENUE,44.6,10000.0,48,12.75,Rain,0
3,4268408,2020-01-03,08:00:00,BRONX,10456,40.820747,-73.906006,1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,e-bike,Taxi,JACKSON AVENUE,46.78,10000.0,60,8.05,Rain,0
4,4269187,2020-01-03,11:00:00,BROOKLYN,11205,40.691017,-73.954475,1.0,0,0,0,1,0,0,0,View Obstructed/Limited,Unsafe Speed,sedan,E-Bike,DE KALB AVENUE,44.92,10000.0,74,8.05,Rain,1
5,4268760,2020-01-03,13:00:00,BRONX,10456,40.831055,-73.905846,1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,van,Bike,3 AVENUE,44.37,10000.0,81,9.17,Rain,0
6,4269539,2020-01-04,02:00:00,QUEENS,11412,40.709023,-73.757835,1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,sedan,Bike,104 AVENUE,47.43,10000.0,81,5.82,Rain,0
7,4268883,2020-01-05,09:00:00,MANHATTAN,10003,40.732845,-73.995926,1.0,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,taxi,Bike,EAST 9 STREET,39.42,10000.0,57,28.86,Clouds,1
8,4269012,2020-01-05,14:00:00,BROOKLYN,11236,40.64906,-73.91326,1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,EAST 92 STREET,39.02,10000.0,53,34.45,Clouds,1
9,4273384,2020-01-06,19:00:00,BROOKLYN,11201,40.68481,-73.99177,1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,SMITH STREET,43.83,10000.0,53,19.69,Clouds,1
10,4269642,2020-01-06,19:00:00,MANHATTAN,10016,40.748302,-73.97835,1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,E-Bike,EAST 37 STREET,43.83,10000.0,53,19.69,Clouds,1
11,4269922,2020-01-07,09:00:00,BRONX,10455,40.82017,-73.91591,1.0,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,MELROSE AVENUE,38.98,10000.0,49,13.0,Clear,0
12,4270047,2020-01-07,11:00:00,BRONX,10451,40.820515,-73.930695,1.0,0,0,0,1,0,0,0,Following Too Closely,Unspecified,pick-up truck,E-Bike,EXTERIOR STREET,38.59,10000.0,50,11.99,Clear,0
13,4271589,2020-01-07,14:00:00,BROOKLYN,11217,40.682644,-73.97175,1.0,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,CUMBERLAND STREET,38.16,10000.0,48,10.0,Clear,0
14,4270440,2020-01-07,14:00:00,MANHATTAN,10022,40.755756,-73.96479,1.0,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,EAST 53 STREET,38.16,10000.0,48,10.0,Clear,0
