,LATITUDE,LONGITUDE,ZIP CODE
1,40.784615,-73.953964,10128
8,40.731407,-73.99698,10012
12,40.804585,-73.94782,10026
19,40.79293,-73.950005,10029
21,40.601864,-74.00232,11214
27,40.759163,-73.988396,10036
29,40.748436,-73.984566,10016
32,40.76122,-73.93056,11106
35,40.810173,-73.95117,10027
41,40.852673,-73.919106,10453
47,40.69613,-73.987114,11201
49,40.80777,-73.94549,10037
53,40.828346,-73.94906,10031
58,40.793472,-73.93726,10029
59,40.763374,-73.99647,10036
69,40.647243,-73.96048,11226
70,40.676598,-73.93039,11213
71,40.69925,-73.973206,11251
77,40.732254,-73.99636,10003
78,40.790623,-73.942444,10029
79,40.652954,-74.00215,11232
82,40.638523,-73.97319,11224
87,40.814632,-73.9442,10030
96,40.817898,-73.938095,10030
98,40.69666,-73.93109,11221
101,40.784943,-73.946594,10029
116,40.753986,-73.80769,11358
120,40.58516,-73.9874,11224
122,40.753304,-73.912575,11103
129,40.730194,-73.887566,11373
138,40.806705,-73.952866,10027
141,40.642548,-74.016655,11220
142,40.71523,-74.01334,10282
146,40.72202,-73.98345,10009
151,40.82538,-73.94006,10039
154,40.682186,-73.86982,11208
158,40.63667,-74.02567,11220
160,40.82942,-73.91226,10456
164,40.641212,-73.96444,11226
168,40.79793,-73.934,10035
170,40.729446,-74.00518,10014
172,40.6686,-73.73676,11422
184,40.79599,-73.96896,10025
185,40.721375,-73.7903,11432
187,40.735313,-73.994125,10011
192,40.756474,-73.94727,11101
198,40.69529,-73.94339,11206
204,40.691227,-73.98214,11227
210,40.68286,-73.97278,11227
218,40.767803,-73.95601,10021
220,40.85432,-73.92826,10040
222,40.70324,-73.92615,11237
227,40.752724,-73.996796,10019
232,40.850822,-73.90147,10457
244,40.795956,-73.97083,10025
245,40.808292,-73.94883,10027
254,40.796215,-73.822975,11357
257,40.87028,-73.878395,10470
262,40.68405,-73.98157,11217
269,40.68936,-73.7848,11433
279,40.737865,-74.00019,10011
280,40.702362,-73.91291,11237
281,40.640762,-74.00767,11220
285,40.692062,-73.95191,11205
286,40.811977,-73.92373,10454
291,40.63777,-74.07602,10301
299,40.824562,-73.948105,10031
311,40.645103,-74.01033,11220
312,40.668507,-73.92561,11213
313,40.65488,-73.96189,11226
320,40.743664,-73.856064,11368
323,40.6931,-73.95489,11205
324,40.83608,-73.93996,10040
330,40.790623,-73.942444,10029
332,40.77178,-73.9792,10023
334,40.692314,-73.88268,11385
341,40.676292,-73.92484,11233
344,40.844116,-73.89857,10457
345,40.76025,-73.96753,10022
351,40.659405,-73.9505,11225
355,40.687637,-73.97077,11238
359,40.759872,-73.784485,11358
360,40.626156,-73.983475,11204
361,40.82138,-73.95414,10031
362,40.814632,-73.9442,10030
363,40.895374,-73.86356,10467
365,40.73885,-73.810356,11355
367,40.824738,-73.95435,10031
371,40.807037,-73.949745,10027
379,40.81728,-73.938545,10030
382,40.69642,-73.95978,11205
383,40.73303,-73.8542,11374
384,40.766666,-73.96707,10065
401,40.88788,-73.85028,10466
